GeneName	Responder1	Responder2	Responder3	Responder4	NonResponder1	NonResponder2	NonResponder3	NonResponder4
ABHD13	2.143227	2.7837224	0.13352633	-0.27283525	0.6479287	-0.1335268	-0.4973359	-0.5447302
ABHD14A	1.296083	0.21002865	1.2809119	1.554708	-0.3827319	-0.50511503	-0.21002865	-0.49849653
ABHD14B	0.006361961	-0.5253153	0.6422386	0.9117317	-0.006361961	0.5063238	-0.13825846	-0.15715408
ABHD15	-0.18590403	-0.42742348	0.3487363	0.28441286	0.18590403	0.34353638	-0.31594276	-0.26005793
ABHD2	0.7135453	-0.7507477	1.7966342	0.37766123	-0.48097324	-0.7377429	-0.37766123	1.6324
ABHD3	-0.5836005	-0.12806225	1.6108799	0.94904995	-1.1997638	-1.3338542	0.12806225	1.021141
ABHD4	-0.20432019	-0.17042041	-0.7297833	-0.9696877	0.17042041	0.42727828	1.7779353	2.4203298
ABHD5	-0.6086602	-1.3229127	0.31515312	0.5291271	-0.40820026	-0.25699615	1.4251704	0.25699615
ABHD6	0.023970604	-0.2230668	1.3935385	0.8018894	0.14210129	-0.16568184	-0.9063177	-0.023970604
ABHD8	0.19970655	2.1665325	-1.4791446	-1.6718869	-0.017680645	0.017680645	-0.32901573	0.16935682
ABI1	-0.03361106	-0.5652516	0.43298602	-0.24950433	-0.030154467	0.030154467	0.40580583	0.38834643
ABI2	0.8237643	-0.4157009	0.6952567	-0.25072956	0.69029903	-0.31189013	-0.40789843	0.25072956
ABI3	2.5333147	2.4487524	-1.7551684	-0.76437426	0.76437426	-1.12253	0.8231158	-0.82363653
ABI3BP	3.630518	3.2248912	-0.89284706	-0.21106815	-0.46592903	-0.5463867	0.9085612	0.21106768
ABL1	0.244447	-0.4358089	0.15625978	0.021271944	-0.30574393	-0.87065244	0.01852107	-0.01852107
ABL2	-0.14305067	0.005623817	-1.2643409	-0.8683243	0.9696207	0.50301504	-0.005623817	0.1978159
ABLIM1	0.33245277	-4.579281	1.040576	1.4374342	-2.1198015	-0.33245277	1.2894721	-0.5423212
ABLIM2	0.71792865	-0.71792865	1.2796295	1.4321592	-1.1023362	-1.2716005	0.9572389	-2.5680687
ABLIM3	2.4377527	0.006755352	0.7958393	-0.006755352	-0.3180356	-0.24266624	1.9646678	-0.68711376
ABO	0.20104384	-0.3667357	1.3748686	1.5733645	-4.0865803	-3.5476692	0.21504855	-0.20104384
ABP1	3.6244671	0.38424945	4.9706135	2.9325726	-0.38424945	-0.41102958	-0.5593941	-1.7026203
ABR	0.11384392	-0.38052797	1.2511349	1.5191708	-1.2834454	-1.1164312	0.720984	-0.11384392
ABRA	1.8866286	3.2175703	-0.81107473	-0.08535099	-0.7134328	-0.61324453	0.08535099	0.08673191
ABT1	-0.58939123	0.29611254	-0.5612507	-0.06720829	0.1398468	0.45783138	-1.194756	0.06720829
ABTB1	0.6408446	0.08678603	0.5238888	-0.08678603	-0.7977655	-0.28821254	-0.111590624	0.4200003
ABTB2	-0.28098774	2.4254498	0.7475357	0.7519274	-0.47744083	0.28098774	-1.0307226	-0.79659367
ACAA1	-0.09064269	-0.02742982	1.8213952	2.0640395	-0.5576961	0.02742982	0.52434134	-0.86163974
ACAA2	0.018867254	-0.018867254	2.208639	2.2875488	-2.274875	-1.6683934	-4.77837	0.036192656
ACACA	-0.32496667	-1.6998346	-0.28186536	-0.29848886	0.7150037	0.5103805	0.28186536	0.9579952
ACACB	3.3742216	0.36510348	0.9698522	0.91521907	-0.36510348	-1.0782783	-1.1660216	-2.0001938
ACAD10	-0.35994887	0.1735704	-0.48472047	-0.7508166	-0.1735704	0.24582696	0.23823619	0.55904365
ACAD11	-0.30006456	1.3830872	1.9696012	1.6393695	-1.3161507	0.30006456	-0.6889591	-0.598814
ACAD8	-0.7464349	0.45276713	0.33594155	-0.098715544	-0.43789077	0.098715544	0.38940215	-1.0374367
ACAD9	-0.65390825	-0.45594883	-0.12969732	0.46301413	0.491899	0.8416152	-0.3194046	0.12969732
ACADL	1.8985324	3.3429456	-0.77789354	-0.12010622	-0.7096796	-0.5410099	0.1597085	0.1201067
ACADM	-0.055350304	0.6717925	-0.1802454	0.055350304	-1.8506842	-2.23801	0.30377436	0.30851078
ACADS	0.07371092	-0.9739847	0.7249713	0.029754162	-0.029754162	0.3645501	-0.94410753	-0.15794325
ACADSB	1.4068227	0.37287188	0.30587435	0.4370675	-1.0453591	-0.8313608	-0.42160225	-0.30587435
ACADVL	-0.7451954	0.13529539	0.08740425	0.27620983	-1.7235785	-1.4554405	-0.087403774	0.84173775
ACAN	0.63821363	1.8088117	-0.27511358	-0.69066286	0.64802456	-0.9213958	0.27511358	-1.275866
ACAP1	3.446434	4.7324862	-1.5641804	-0.8703375	0.69004583	-1.2947469	0.32427096	-0.3242712
ACAP2	-0.7005093	0.02346015	0.55128884	-0.02346015	0.47734666	-0.096176386	-0.19833064	0.50443196
ACAP3	0.017542362	0.7630644	-0.73444796	-0.017542362	-1.0670104	-0.41737986	0.16097355	0.4392829
ACAT1	1.3754735	1.067174	-0.018969059	0.6871629	-0.018863201	-0.63230467	-0.672184	0.018863201
ACAT2	-1.3303134	0.6466758	-0.7521608	0.40639234	-0.11915088	0.5443175	0.11915088	-1.1052024
ACBD3	-0.3737979	-1.5947251	-0.001026154	-0.13389492	0.9637909	0.97160816	0.001026154	0.42155838
ACBD4	-0.27410817	0.3117869	0.08277774	-0.7296016	-0.20515037	0.52186894	0.07438445	-0.07438445
ACBD5	0.020034313	-0.41997957	1.154038	1.5374637	-0.448308	-0.76532316	-0.020034313	0.72896814
ACBD6	-0.18744421	-3.7246342	-0.54053164	0.18744421	0.47682047	1.4357886	-0.22205353	0.8244834
ACBD7	0.24632668	0.6646936	-1.830653	-1.3706844	-0.1613195	-0.039684057	0.039684057	0.060117006
ACCN1	1.136323	2.3697906	-0.018304348	0.018304348	-1.8118863	-0.49451828	1.3044152	-0.023686409
ACCN2	-0.041093826	-1.0405622	0.586236	1.9805355	-0.9891801	-0.6591644	0.041093826	0.278327
ACCN3	1.2487144	2.573979	-0.78373814	-0.8989496	-1.0116062	0.47995424	0.54413366	-0.47995377
ACCN4	0.60730815	1.9175255	-0.46309876	-0.9739201	0.6882751	-0.85407186	0.45013738	-0.45013738
ACCN5	1.7481189	3.43054	-0.93941927	0.27152014	-0.8773713	-0.66155434	0.027914524	-0.027914524
ACCS	0.41956735	0.9182012	1.5227692	0.8860047	-0.50167584	-0.41956735	-0.9014909	-2.2977827
ACCSL	1.8307095	3.5293236	-0.85117626	-0.23640966	-0.051043034	-0.04500723	0.101409435	0.04500723
ACD	-0.32277966	0.5244355	-0.426013	-0.23332787	1.0099125	0.9888935	-0.25669146	0.23332787
ACE	2.4188511	-0.3304255	0.2604077	-0.10105014	-0.021426916	-1.2030184	0.16573358	0.021426916
ACE2	0.009147644	-1.7493148	0.3483572	0.31258297	-0.009147644	0.01657629	-1.3701787	-3.5248404
ACER1	-0.33434796	1.9055693	-2.014776	-1.7850969	-0.0496037	0.87084985	0.21758819	0.0496037
ACER2	0.05594468	1.67226	0.32973552	-0.035341024	-0.801563	-0.027421713	-0.8801062	0.027421713
ACER3	-0.35348177	0.9475546	0.19919634	0.24107027	-0.27202368	-0.17848778	0.17848778	-2.1142812
ACHE	-0.8153794	0.023658037	-0.023658037	-1.1958039	-0.4939778	0.51773906	0.052312613	0.7092569
ACIN1	-0.86904407	0.73280835	0.2323401	0.6456635	-0.27710128	-0.63014245	-0.2323401	0.3021109
ACLY	-0.24314642	-0.1400528	-0.1336093	0.1336093	0.8389373	0.8998599	-0.30100918	0.43916273
ACMSD	1.923666	3.347293	-0.77752256	-0.12978745	-0.7372179	-0.6024437	0.20191813	0.12978745
ACN9	-0.578022	0.25458765	-0.1767788	0.1767788	0.5086193	0.6093931	-1.7671533	-0.673295
ACO1	0.6645224	-2.0243266	0.8907511	0.6006396	0.13027787	-0.13027787	-0.24336362	-1.1294024
ACO2	-0.15069366	-0.055392504	0.22668862	0.055392504	-0.7011936	-0.77555823	0.3711288	0.74705625
ACOT1	0.5720582	0.84641457	-0.054744244	0.6501689	-0.054872036	-0.38833952	-0.1036787	0.054744244
ACOT11	-0.20502377	-2.994656	0.81239986	0.79350185	-0.8901348	0.20502377	1.5235343	-1.0054779
ACOT12	1.4729176	2.913567	-0.37108898	-0.50182676	-0.061561108	0.061561584	-0.30002975	0.19775486
ACOT13	-0.83248496	-0.1291039	1.1362822	1.1640952	0.1291039	-0.16572738	-1.1438925	0.42311215
ACOT4	-0.32617235	0.8270006	-0.617609	-0.56378937	0.9263973	0.32617235	0.66122293	-0.86580086
ACOT6	1.771184	3.3719096	-0.95316315	1.4541192	-0.8298774	-0.5957756	0.026854515	-0.026854038
ACOT7	0.5813167	-0.27460313	-0.009257555	0.17127872	0.07688689	-0.09130597	0.009257555	-0.8615773
ACOT8	-0.2938478	-1.0651119	-0.4370854	-0.953418	0.6151769	0.2938478	0.7652161	0.59341216
ACOT9	-0.3749895	-0.6026807	0.3749895	0.6129255	0.51713943	0.71837616	-1.2691827	-1.9712825
ACOX1	1.4557765	-2.3162072	0.29356217	0.46511006	-0.19039702	-0.08832145	0.03742385	-0.03742385
ACOX2	0.89877176	-0.89877176	3.257708	2.8371186	-1.545558	-1.0909071	1.1713285	-3.9181457
ACOX3	-0.977963	0.40892744	0.037494183	0.2867427	-1.5140481	-0.85104656	1.0279074	-0.037494183
ACOXL	1.6863236	5.7241926	-1.0486917	-0.3597026	0.07067394	1.1103201	-0.070673466	-0.11068106
ACP1	-0.24331713	0.45156097	0.40813208	0.7100873	0.028444767	-0.028444767	-0.5390587	-0.7211337
ACP2	0.052614927	0.31091237	-1.2980978	-1.8401902	0.40149093	0.3137257	-0.30215	-0.052614927
ACP5	0.98122025	0.33539343	-1.5699234	-1.8303547	1.2333927	0.47141647	-0.33539343	-0.5680876
ACP6	-1.3352776	-0.09990215	0.8429055	0.7880883	-0.23643684	1.0342255	-1.4806075	0.09990215
ACPL2	0.12691951	-1.3250568	0.76691794	0.9878509	0.5008571	-0.20442224	-1.6082723	-0.12691951
ACPP	-1.7069454	-0.65183735	0.014880657	1.0506854	-2.022119	-0.014880657	1.6843929	1.5451722
ACPT	-0.012041807	1.2981794	-0.98947406	-2.0430343	-0.03446269	0.8088858	0.012041807	1.5622389
ACR	0.12105036	1.8153028	-0.8809047	-0.12105036	-0.31847572	-0.14328861	1.31705	0.23827887
ACRBP	0.67999935	0.9565034	-0.45924473	-1.6026554	0.27822208	-0.18220472	0.18220472	-0.98486614
ACRC	0.5312371	3.1522784	1.8659859	1.9450364	-0.90659	-1.8436246	-0.5312371	-0.69923925
ACRV1	2.3056264	3.2184577	-0.8901682	-0.2128315	-0.2401557	-0.6148863	0.3143196	0.2128315
ACSBG1	2.699531	2.8286767	0.25174475	-0.3287115	-0.3306322	-0.6168823	-0.25174522	2.161663
ACSBG2	0.8977499	2.397009	-1.8165612	-1.2004924	0.2244606	-0.2244606	3.9328017	-0.90509415
ACSF2	-1.0814757	-0.10252619	0.89273214	0.10252619	2.6115336	1.6497474	-2.2125163	-0.16251898
ACSF3	0.10153866	0.24558592	-0.08535385	-0.17671776	-0.39270687	-0.34613228	0.23804426	0.08535385
ACSL1	1.4819746	1.4520631	-0.59312344	-0.6937456	0.07949829	-0.07949829	1.4181008	-0.19816923
ACSL3	0.7900522	-1.5256641	0.47515464	-0.6193087	0.93852496	-0.060615778	0.060615778	-0.37480474
ACSL4	0.706033	1.344425	-1.1368678	-1.1044562	0.90543914	-0.5154531	-0.38985515	0.38985515
ACSL5	2.1352704	0.14550757	3.6776078	3.3905013	-0.14550757	-2.9300387	-1.4645522	-5.132697
ACSL6	0.9753945	2.1292574	2.585963	2.581372	-1.8973916	-0.9753945	-0.9797838	-1.0402348
ACSM1	0.001279116	1.5611155	0.8869345	0.44328618	-1.5081289	-0.001279116	-1.7276256	-1.7967846
ACSM2B	1.6093006	5.6520867	-0.24357939	-0.79690933	0.24357986	2.313158	-0.28206968	-0.3544836
ACSM3	1.9548063	0.4735837	2.9277906	2.5017347	-0.80563307	-0.4735837	-1.8389549	-0.92295265
ACSM4	1.9617329	3.5181956	-0.81866264	-0.16694975	-0.7135925	-0.5410371	0.5952749	0.16694927
ACSM5	-0.040774107	1.4249108	-0.31078887	-0.017358065	-0.020884275	0.017358065	0.4742887	0.37494493
ACSS1	0.3354888	-0.17918634	0.17918634	0.44636202	-1.4374585	-1.1116624	-0.94899845	1.086844
ACSS2	0.2648487	-2.1290202	-0.23432446	0.23432446	-0.60835934	-0.4671297	0.3539405	0.38134193
ACSS3	0.24125147	1.7373843	-2.5733075	-1.9107852	0.22026396	1.780191	-0.22026396	-1.5919218
ACTA1	-0.68847895	0.68847895	-3.4435568	-2.7573261	3.6913319	7.140849	1.1404858	-2.4697323
ACTA2	2.445879	-1.1135373	0.20451069	-0.20451069	1.0824804	1.4810934	-0.7438617	-0.83743095
ACTB	0.2278943	1.5213733	-0.5696988	0.09791136	-0.00979948	0.00979948	-0.05237007	-0.2665429
ACTBL2	1.4039631	0.42882586	0.2993517	-0.25910568	-1.0034885	0.189888	-1.453547	-0.189888
ACTC1	1.9376607	3.5818272	-0.7774334	-0.13966417	-0.67486525	-0.43066597	0.19295692	0.13966417
ACTG1	-0.84840107	-0.4957795	-0.085715294	-0.081017494	0.49859524	0.9270277	0.08101797	0.18379402
ACTG2	7.968995	-1.4847713	-4.3166738	-1.9862733	1.6624165	3.4919138	1.4847713	-4.733901
ACTL6A	-0.92113566	-0.2642815	-0.3425691	0.2642815	0.90853715	0.48634553	-0.8871596	0.54440236
ACTL6B	0.05319619	1.6023676	0.29135728	-0.2918327	0.25940585	-0.05319619	-0.4960096	-0.88472867
ACTL7A	2.6854415	3.2210903	-0.41317654	0.459826	-0.64116526	-0.7891736	-0.12576437	0.12576437
ACTL7B	1.8810573	3.2230072	-0.8602929	-0.17904425	-0.72997713	-0.5950837	0.17904425	0.35110188
ACTL8	0.5596914	1.218255	1.9074464	1.3229904	-1.0183091	-0.5596914	-0.6179714	-0.8183613
ACTL9	1.7075567	3.6266885	-0.98243713	-0.3733325	-0.13608313	0.08493471	1.3937068	-0.08493471
ACTN1	-0.5195873	-4.047286	0.16902184	-0.09869647	1.8699667	2.0356934	0.09869647	-0.7596271
ACTN2	1.5111666	3.1402678	-0.9852123	-0.57734394	-0.85356903	0.852118	0.24026299	-0.24026251
ACTN3	-0.5566282	1.681416	-0.14998436	0.14998436	0.8840308	1.0514021	-0.7140527	-1.8307867
ACTN4	-1.3019209	-2.308823	-0.18384552	0.10138798	1.2737703	1.3110552	0.4257884	-0.10138798
ACTR10	0.97915125	0.055137634	-0.055137634	-1.0091968	1.515871	2.292253	-0.5759077	-1.6627727
ACTR1A	-0.147578	-0.043196917	-0.17243266	-0.49398398	0.2979014	0.20025945	0.652375	0.043196917
ACTR1B	-0.4352367	-0.90930533	-0.19438434	-1.1100776	0.35098004	0.76005197	0.19438434	0.6418097
ACTR2	-0.5468538	0.015244246	0.16928506	0.3211615	-0.015244246	0.13935876	-0.1752932	-0.10403228
ACTR3	-0.7200594	0.07606268	-0.9053011	-1.2012806	0.0531435	0.14633656	-0.053143024	0.10582638
ACTR3B	0.047135115	-0.055285692	1.1002266	1.8833745	-0.40878177	-0.12292552	-0.047135115	0.75150895
ACTR3C	-0.010169983	1.5127082	1.8291836	0.9389639	-0.20448637	-0.57287145	0.010169983	-0.24604797
ACTR5	-0.52831507	0.49664164	0.32312346	-0.4839759	0.5024915	0.011064529	-0.5007267	-0.011064529
ACTR6	0.28415155	0.588151	-0.46746588	-0.091816425	0.7820306	0.091816425	-0.81286716	-0.27550554
ACTR8	0.2250855	0.78683305	1.296603	1.2675321	-0.2250855	-0.4402001	-0.4233272	-0.73244405
ACTRT1	2.0325675	3.2062201	-1.0825248	-0.41348076	3.2386837	-0.79178286	0.039372444	-0.039371967
ACTRT2	1.0191722	2.4403548	1.2790327	0.70168304	-1.6250734	-1.1847706	-0.70168304	-0.7410121
ACVR1	0.24536061	-1.1157835	-0.085594416	-0.95421004	0.42355418	-0.009780645	0.009780645	0.6296756
ACVR1B	1.4274569	2.8139257	1.1634378	-0.02539301	-0.07228708	0.02539301	-0.026379585	-0.37937593
ACVR1C	-0.09469938	0.76761293	-0.8879261	0.09469938	0.9927821	0.7030792	-2.3674898	-1.9794369
ACVR2A	-1.476263	-0.20363283	0.46084785	0.117461205	-0.8171234	-0.117461205	0.20963812	0.2073617
ACVR2B	-1.2305038	-0.07782769	0.52703595	0.16289163	0.12446618	0.07782769	-0.9506738	-0.86003137
